BOOK_ID,TITLE,AUTHOR_NAME,PUBLISHER,GENRE,RELEASE_DATE,UNIT_PRICE,CURRENCY,BOOK_STATUS,TOTAL_SOLD_QTY,TOTAL_SALES_AMOUNT,TOTAL_STOCK_QTY,AVAILABLE_QTY,RETURN_QTY,RETURN_RATE,RETURN_RISK_LEVEL,RECOMMENDED_ACTION
B010,地方創生の出版戦略,佐藤 剛,Shuppansha,ビジネス,2026-05-20,1900.00,JPY,発売中,15,28500.00,163,137,13,46.43,High,返品予定数を抑えるため、再配分先店舗とEC在庫への振替を検討
B011,AIで変わる書店現場,高橋 直子,Shuppansha,IT,2026-06-01,2100.00,JPY,発売中,18,37800.00,129,115,3,14.29,Low,現状維持しつつ販売・在庫推移を継続監視
B012,鳥取の未来をひらく本,渡辺 美咲,Shuppansha,地域,2026-04-15,1600.00,JPY,発売中,17,27200.00,114,106,4,19.05,Medium,販売推移を確認し、対象店舗への追加販促と在庫再配分を検討
B013,小売DX入門,山田 健一,Shuppansha,IT,2026-03-25,2200.00,JPY,発売中,5,11000.00,108,99,8,61.54,High,返品前に重点店舗へ棚替え・販促POP・EC移管を提案
B014,地域書店の経営戦略,中村 彩,Shuppansha,ビジネス,2026-02-10,1800.00,JPY,発売中,5,9000.00,97,89,16,76.19,High,返品前に重点店舗へ棚替え・販促POP・EC移管を提案
B015,親子で読む山陰ガイド,森田 悠,Shuppansha,旅行,2026-04-28,1500.00,JPY,発売中,25,37500.00,76,71,0,0.00,Low,現状維持しつつ販売・在庫推移を継続監視
B016,データで読む出版流通,井上 真,Shuppansha,データ分析,2026-05-05,2400.00,JPY,発売中,11,26400.00,114,102,6,35.29,Medium,販売推移を確認し、対象店舗への追加販促と在庫再配分を検討
B017,書店員のためのAI活用,小林 優子,Shuppansha,IT,2026-06-12,2000.00,JPY,発売前,0,0.00,140,135,0,0.00,Medium,発売直後の需要を確認し、EC予約と初回配本のバランスを調整
B018,売場づくりの心理学,加藤 亮,Shuppansha,マーケティング,2026-01-18,1700.00,JPY,発売中,0,0.00,105,99,17,100.00,High,返品前に重点店舗へ棚替え・販促POP・EC移管を提案
B019,返品を減らす在庫管理,鈴木 恵,Shuppansha,業務改善,2026-05-30,2300.00,JPY,発売中,20,46000.00,97,82,2,9.09,Low,現状維持しつつ販売・在庫推移を継続監視
