EVENT_ID,EVENT_DATETIME,SOURCE_CHANNEL,SENDER_TYPE,SENDER_NAME,RELATED_STORE_ID,BOOK_ID,EVENT_TYPE,EVENT_CONFIDENCE,EXTRACTED_TEXT,RAW_MESSAGE_REF,CREATED_BY_AGENT
COM010,2026-06-15T09:20:00Z,Email,出版社,Shuppansha編集部,S100,B010,棚割り相談,0.92,鳥取books本店のB010在庫が厚くなっているため、返品前に販促提案を検討したい。,MSG-COM010,true
COM011,2026-06-15T10:05:00Z,Chat,書店,鳥取books 本店,S100,B010,返品予兆,0.98,B010の動きが鈍く、返品相談が出ています。地域フェア連動の棚替えは可能ですか。,MSG-COM011,true
COM012,2026-06-15T10:30:00Z,Email,EC担当,ECモール担当,S300,B010,EC需要,0.85,B010はECで検索数が増えています。店舗滞留分の一部移管を検討できます。,MSG-COM012,true
COM013,2026-06-16T08:45:00Z,Email,書店,米子ブックセンター,S101,B011,追加陳列,0.90,B011はAI関連棚で反応が良いため、週末前に平台展開を増やしたいです。,MSG-COM013,false
COM014,2026-06-16T13:10:00Z,Chat,営業,山陰営業担当,S102,B012,地域連動企画,0.91,B012は観光案内所との連携で販売余地があります。鳥取特集棚に移動予定です。,MSG-COM014,true
COM015,2026-06-16T17:20:00Z,Email,書店,松江リバーブックス,S103,B013,返品相談,0.94,B013は小売DXフェア終了後に在庫が残っています。法人向け棚への移動提案が必要です。,MSG-COM015,true
COM016,2026-06-17T09:05:00Z,Chat,書店,鳥取books 本店,S100,B014,長期滞留,0.97,B014は発売から日数が経過し、返品候補として社内で上がっています。,MSG-COM016,true
COM017,2026-06-17T11:40:00Z,Email,出版社,販売企画部,S103,B015,販促継続,0.88,B015は親子向け企画と相性が良いため、夏休み前まで販促継続を希望します。,MSG-COM017,false
COM018,2026-06-17T15:25:00Z,Email,営業,広島営業担当,S104,B016,補充相談,0.89,B016は広島ビジネス書房で法人需要が見込めます。補充候補として確認してください。,MSG-COM018,false
COM019,2026-06-18T08:55:00Z,Chat,EC担当,ECモール担当,S300,B017,予約需要,0.86,B017は発売前予約が伸びています。発売直後のEC在庫を確保したいです。,MSG-COM019,true
COM020,2026-06-18T10:15:00Z,Email,書店,米子ブックセンター,S101,B018,返品予兆,0.96,B018は売場改善フェア終了後に動きが止まっています。返品前にEC移管を検討したいです。,MSG-COM020,true
COM021,2026-06-18T12:30:00Z,Chat,営業,鳥取営業担当,S100,B019,重点販売,0.93,B019は返品削減テーマとして提案しやすく、書店向け勉強会と連動できます。,MSG-COM021,false
