RETURN_ID,RETURN_DOC_NO,RETURN_DATE,BOOK_ID,STORE_ID,RETURN_QTY,RETURN_REASON,RETURN_SOURCE,ORIGINAL_SHIPMENT_ID,RETURN_STATUS,RETURN_COST_ESTIMATE,SOURCE_SYSTEM
RET010,RD20260531010,2026-05-31,B010,S100,8,販売鈍化,取次返品実績,SD010,入庫済,1200.00,取次データ
RET011,RD20260601011,2026-06-01,B011,S100,3,棚割調整,取次返品実績,,入庫済,480.00,取次データ
RET012,RD20260604012,2026-06-04,B014,S100,12,長期滞留,書店返品申請,SD018,入庫済,1680.00,S4HANA
RET013,RD20260605013,2026-06-05,B013,S103,5,販売不振,取次返品実績,SD017,入庫済,850.00,取次データ
RET014,RD20260607014,2026-06-07,B018,S101,10,季節棚終了,書店返品申請,SD023,入庫済,1300.00,S4HANA
RET015,RD20260609015,2026-06-09,B012,S100,4,フェア終了,書店返品申請,SD015,承認待ち,520.00,S4HANA
RET016,RD20260610016,2026-06-10,B016,S100,6,販売鈍化,AI推奨返品候補,,審査中,900.00,AI分析
RET017,RD20260611017,2026-06-11,B010,S100,5,再配分予定,AI再配分候補,SD011,回収予定,750.00,AI分析
RET018,RD20260612018,2026-06-12,B018,S103,7,長期滞留,取次返品実績,,入庫済,910.00,取次データ
RET019,RD20260613019,2026-06-13,B014,S103,4,棚替え,書店返品申請,,承認待ち,560.00,S4HANA
RET020,RD20260614020,2026-06-14,B013,S104,3,販売鈍化,AI推奨返品候補,,審査中,510.00,AI分析
RET021,RD20260615021,2026-06-15,B019,S100,2,過剰在庫調整,書店返品申請,,承認待ち,360.00,S4HANA
