SHIPMENT_ID,DELIVERY_DOC_NO,SALES_ORDER_NO,BOOK_ID,FROM_LOCATION_ID,TO_LOCATION_ID,DELIVERY_TYPE,SHIP_QTY,PLANNED_SHIP_DATE,ACTUAL_SHIP_DATE,DELIVERY_STATUS,LOGISTICS_PARTNER_ID,TRACKING_REF,SOURCE_SYSTEM,NOTE
SD010,DN2026010,SO2026010,B010,S200,S100,通常出荷,40,2026-05-15,2026-05-16,納品済,LP001,TRK-SD010,S4HANA,初回配本
SD011,DN2026011,SO2026011,B010,S100,S300,再配分候補,10,2026-06-20,,取次照会中,LP004,TRK-SD011,外部連携,EC需要に対する再配分候補
SD012,DN2026012,SO2026012,B011,S200,S100,通常出荷,15,2026-05-28,2026-05-29,納品済,LP001,TRK-SD012,S4HANA,初回配本
SD013,DN2026013,SO2026013,B011,S200,S101,通常出荷,18,2026-05-29,2026-05-30,納品済,LP001,TRK-SD013,S4HANA,IT棚向け配本
SD014,DN2026014,SO2026014,B012,S200,S102,通常出荷,28,2026-04-12,2026-04-13,納品済,LP001,TRK-SD014,S4HANA,地域棚向け配本
SD015,DN2026015,SO2026015,B012,S200,S100,通常出荷,24,2026-04-13,2026-04-14,納品済,LP001,TRK-SD015,S4HANA,観光需要見込み
SD016,DN2026016,SO2026016,B013,S200,S101,通常出荷,22,2026-03-22,2026-03-23,納品済,LP001,TRK-SD016,S4HANA,小売DXフェア用
SD017,DN2026017,SO2026017,B013,S200,S103,通常出荷,18,2026-03-23,2026-03-24,納品済,LP001,TRK-SD017,S4HANA,松江店向け
SD018,DN2026018,SO2026018,B014,S200,S100,通常出荷,32,2026-02-08,2026-02-09,納品済,LP001,TRK-SD018,S4HANA,ビジネス書棚向け
SD019,DN2026019,SO2026019,B014,S200,S104,通常出荷,25,2026-02-09,2026-02-10,納品済,LP001,TRK-SD019,S4HANA,広島店向け
SD020,DN2026020,SO2026020,B015,S200,S103,通常出荷,30,2026-04-25,2026-04-26,納品済,LP001,TRK-SD020,S4HANA,旅行棚向け
SD021,DN2026021,SO2026021,B015,S200,S102,通常出荷,20,2026-04-25,2026-04-26,納品済,LP001,TRK-SD021,S4HANA,親子向け棚
SD022,DN2026022,SO2026022,B016,S200,S104,通常出荷,24,2026-05-03,2026-05-04,納品済,LP001,TRK-SD022,S4HANA,業務改善棚向け
SD023,DN2026023,SO2026023,B018,S200,S101,通常出荷,35,2026-01-15,2026-01-16,納品済,LP001,TRK-SD023,S4HANA,売場改善フェア
SD024,DN2026024,SO2026024,B019,S200,S100,通常出荷,26,2026-05-27,2026-05-28,納品済,LP001,TRK-SD024,S4HANA,返品抑制テーマ棚
SD025,DN2026025,SO2026025,B017,S200,S300,発売前出荷,40,2026-06-10,,出荷準備中,LP001,TRK-SD025,S4HANA,発売前EC予約分
SD026,DN2026026,SO2026026,B010,S301,S104,補充出荷,12,2026-06-21,,出荷予定,LP004,TRK-SD026,S4HANA,売上好調店への補充
SD027,DN2026027,SO2026027,B018,S101,S300,再配分候補,8,2026-06-22,,取次照会中,LP004,TRK-SD027,外部連携,滞留在庫のEC移管候補
